img_path,xmin,ymin,xmax,ymax,score,img_name,tile_index,tile_xmin,tile_ymin,tile_xmax,tile_ymax,x,y,Xmin,Ymin,Xmax,Ymax,X_d,Y_d,lon_d,lat_d,is_musacea_d,is_banana,ground_index,name,lat_g,lon_g,diameter,height,year,plot_id,tree_id,is_musacea_g,site,X_g,Y_g,updated diameter,group,updated height,AGB,carbon,id,banana
Carlos_Vera_Arteaga_RGB_10_7600_7600_11600_11600.png,1693.6083984375,481.4974670410156,1931.384033203125,727.0736083984375,0.2146391868591309,Carlos_Vera_Arteaga_RGB,10,7600,7600,11600,11600,1811.9962158203125,603.7855377197267,9293.6083984375,8081.497467041016,9531.384033203123,8327.073608398438,9412.996215820312,8204.785537719727,-79.59303975396617,-1.201620321672908,0.01,False,289,Cacao,-1.20142662,-79.59317885,0.0,0.0,2017.0,P10,440.0,0.0,Carlos_Vera_Arteaga_RGB,7914.426210879784,6045.849783262746,7.957728545960001,cacao,0.0,7.338873345482527,2.862160604738186,289,0
Leonor_Aspiazu_RGB_5_3800_3800_7800_7800.png,5.647815227508545,1101.9188232421875,222.66542053222656,1507.74560546875,0.3361595273017883,Leonor_Aspiazu_RGB,5,3800,3800,7800,7800,114.15661787986755,1304.8322143554688,3805.647815227509,4901.918823242188,4022.6654205322266,5307.74560546875,3914.156617879868,5104.832214355469,-79.5797910147892,-1.1505476943558608,0.01,False,568,Guanabana,-1.15063039,-79.57966417,0.0,0.0,2018.0,P2,0.0,0.0,Leonor_Aspiazu_RGB,7115.040132943977,6661.056797002661,5.411255411259999,fruit,0.0,6.6974087843349634,2.611989425890636,568,0
Carlos_Vera_Guevara_RGB_6_3800_7600_7800_11600.png,1809.937744140625,1829.3359375,1994.7894287109373,2015.091552734375,0.225775271654129,Carlos_Vera_Guevara_RGB,6,3800,7600,7800,11600,1902.3635864257808,1922.2137451171875,5609.937744140625,9429.3359375,5794.7894287109375,9615.091552734377,5702.363586425781,9522.213745117188,-79.59117221202207,-1.1987472663381382,0.01,False,481,Guaba,-1.19872536,-79.59112472,9.80392156863,0.0,2016.0,P3,274.0,0.0,Carlos_Vera_Guevara_RGB,6414.282331342839,7998.190862044579,9.80392156863,fruit,0.0,32.15848246679513,12.541808162050106,481,0
Leonor_Aspiazu_RGB_7_3800_9855_7800_13855.png,803.90576171875,172.0720672607422,1278.01513671875,590.9608764648438,0.6621221303939819,Leonor_Aspiazu_RGB,7,3800,9855,7800,13855,1040.96044921875,381.51647186279297,4603.90576171875,10027.072067260742,5078.01513671875,10445.960876464844,4840.96044921875,10236.516471862791,-79.57973907396328,-1.150851469322345,0.99,True,91,Musacea,-1.15084476,-79.57978463,17.0295390884,0.0,2018.0,P2,0.0,1.0,Leonor_Aspiazu_RGB,5808.957971794504,8927.718437576998,17.0295390884,banana,0.0,12.577184112414695,4.905101803841731,91,1
Carlos_Vera_Arteaga_RGB_0_0_0_4000_4000.png,2598.971435546875,2738.038330078125,2903.95556640625,3040.416748046875,0.3493476510047913,Carlos_Vera_Arteaga_RGB,0,0,0,4000,4000,2750.9635009765625,2888.7275390625,2598.971435546875,2738.038330078125,2903.95556640625,3040.416748046875,2751.9635009765625,2889.7275390625,-79.59365843838745,-1.2011432288661288,0.99,True,143,Musacea,-1.20121985,-79.59339443,15.9154570919,0.0,2017.0,P10,511.0,1.0,Carlos_Vera_Arteaga_RGB,5593.395676987276,3742.326177863896,15.9154570919,banana,0.0,10.889199936445776,4.246787975213853,143,1
Carlos_Vera_Arteaga_RGB_9_7600_3800_11600_7800.png,825.8291625976562,1988.2255859375,988.8489379882812,2136.64892578125,0.2002774178981781,Carlos_Vera_Arteaga_RGB,9,7600,3800,11600,7800,907.3390502929688,2062.437255859375,8425.829162597656,5788.2255859375,8588.848937988281,5936.64892578125,8507.339050292969,5862.437255859375,-79.59312377956985,-1.2014101564360051,0.01,False,61,Cacao,-1.20131209,-79.59320100000002,0.0,0.0,2017.0,P10,280.0,0.0,Carlos_Vera_Arteaga_RGB,7675.949421254322,4769.926977603981,7.957728545960001,cacao,0.0,7.338873345482527,2.862160604738186,61,0
Leonor_Aspiazu_RGB_6_3800_7600_7800_11600.png,252.6089782714844,1917.3131103515625,608.1221923828125,2283.029296875,0.3641623854637146,Leonor_Aspiazu_RGB,6,3800,7600,7800,11600,430.3655853271485,2100.171203613281,4052.608978271485,9517.313110351562,4408.122192382813,9883.029296875,4230.365585327148,9700.17120361328,-79.57977329350409,-1.1508197198502983,0.01,False,94,Cacao,-1.15081656,-79.57966093,0.0,0.0,2018.0,P2,0.0,0.0,Leonor_Aspiazu_RGB,7150.169687978246,8629.543047997142,5.411255411259999,cacao,0.0,3.419771115949197,1.333710735220187,94,0
Flora_Pluas_RGB_17_11400_7600_15400_11600.png,1737.00830078125,1404.631591796875,1958.8837890625,1620.791015625,0.3233357667922973,Flora_Pluas_RGB,17,11400,7600,15400,11600,1847.946044921875,1512.7113037109375,13137.00830078125,9004.631591796875,13358.8837890625,9220.791015625,13247.946044921877,9112.711303710938,-79.54122795200892,-2.2297832417056127,0.01,False,421,Cacao,-2.22977557,-79.54141884,0.0,0.0,2017.0,P6,0.0,0.0,Flora_Pluas_RGB,8809.282356880756,8533.410104035043,7.957728545960001,cacao,0.0,7.338873345482527,2.862160604738186,421,0
Nestor_Macias_RGB_11_7600_9024_11600_13024.png,529.0137939453125,2134.67822265625,739.040771484375,2325.404052734375,0.2667849659919739,Nestor_Macias_RGB,11,7600,9024,11600,13024,634.0272827148438,2230.0411376953125,8129.013793945312,11158.67822265625,8339.040771484375,11349.404052734377,8234.027282714844,11254.041137695312,-79.57613601448818,-2.1814846828468872,0.99,True,321,Musacea,-2.18145925,-79.57613902,10.5042016807,0.0,2016.0,P8,0.0,1.0,Nestor_Macias_RGB,7959.166453640447,9251.114395807765,10.5042016807,banana,0.0,4.493911905548441,1.7526256431638922,321,1
Carlos_Vera_Arteaga_RGB_13_11297_3800_15297_7800.png,1224.7706298828125,1490.0234375,1450.255859375,1726.9442138671875,0.2456058263778686,Carlos_Vera_Arteaga_RGB,13,11297,3800,15297,7800,1337.0132446289062,1607.9838256835938,12521.770629882812,5290.0234375,12747.255859375,5526.944213867188,12635.013244628906,5408.983825683594,-79.59274048929863,-1.2013693635674028,0.99,True,203,Musacea,-1.20125866,-79.59293226,11.9365928189,0.0,2017.0,P10,445.0,1.0,Carlos_Vera_Arteaga_RGB,10569.32425037034,4174.689437163795,11.9365928189,banana,0.0,5.900332186902566,2.3011295528920006,203,1
